subject,accuracy,balanced_accuracy,macro_f1,support
2,0.9212050984936269,0.8981259111912923,0.9024587899302196,7767
3,0.7006200177147919,0.6138913455279025,0.6187080137292454,7903
4,0.9102354274203701,0.8450673620165146,0.8786154282635115,7943
5,0.7186848239479818,0.7826463233785818,0.708959497639169,8151
6,0.7725868248671364,0.684669842177975,0.6982931439604397,8091
7,0.928297213622291,0.909200755310694,0.9118964235818814,8075
8,0.8392659194482079,0.7410993132899442,0.7725148085086411,8119
9,0.8794449262792715,0.8029203596559695,0.8349088929769161,8071
10,0.8785603622929329,0.8118517228692123,0.8423372472361862,8391
11,0.9472849298352654,0.9438397202004396,0.9383286052813335,8195
13,0.7823378526932943,0.8418539891826311,0.7733192894748127,8187
14,0.7172506409473812,0.529923206914427,0.47289268841134785,8191
15,0.8992087644552648,0.8490710348130359,0.8721917210241708,8215
16,0.9826129545732827,0.9762905950026405,0.9791882193499668,8167
17,0.8013592464528437,0.7610544742012091,0.7658783425576255,8387
