feature,importance_mean,importance_std
bvp_hr_std,0.10593776892069384,0.0002415568337937879
bvp_hr_mean,0.07016471156604315,0.00020381357851356752
bvp_peak_count,0.06608089134471667,0.0002491054848498542
acc_y_mean,0.05494663103703368,0.00023400818273777713
acc_x_max,0.05036837417153556,0.00032836632093841134
acc_z_max,0.044219997886377704,0.00029439739118614083
acc_y_max,0.042514002747708945,0.00032459199541040595
acc_x_mean,0.041438319972220916,5.6614882920413834e-05
acc_x_min,0.038418859549798456,0.00021513655509758367
acc_z_min,0.029145341727433327,0.0002793000890740638
acc_z_mean,0.026325920557996263,0.00035856092516267646
acc_mag_range,0.019169799356854922,0.00028307441460206917
acc_y_min,0.018460226157585635,7.926083608861267e-05
bvp_hrv_mean_nn,0.016074852423871855,0.00029062306565819096
eda_num_scr_peaks,0.014123526125881303,0.0006189893865966578
acc_z_range,0.012776091912375276,3.7743255280053845e-06
eda_max,0.011443755000981326,0.00023400818273772162
bvp_hrv_lf_hf_ratio,0.011258813050107952,6.416353397648011e-05
acc_mag_max,0.010805893986744586,1.8871627640137945e-05
acc_x_range,0.009364101635037814,4.1517580808336785e-05
acc_y_range,0.005650165315458144,3.7743255280053845e-06
acc_z_std,0.005552032851729394,3.7743255280608956e-06
temp_max,0.005461449039056709,2.6420278696204225e-05
acc_x_std,0.0042196959403354994,3.019460422420961e-05
temp_mean,0.0038875552938689717,9.058381267268434e-05
acc_y_std,0.0033251807901928387,0.00018494195087337406
temp_min,0.002993040143726311,4.9066231864347554e-05
bvp_hrv_lf,0.0021853344807283293,1.8871627640137945e-05
eda_min,0.0018569681597898624,6.793785950454101e-05
bvp_hrv_rmssd,0.001785255974757316,0.00011700409136883305
acc_mag_min,0.001105877379712239,5.6614882920413834e-05
acc_mag_std,0.0010756827754880294,0.0001396500445370319
bvp_hrv_std_nn,0.0010190678925676155,2.264595316819884e-05
eda_scl_mean,0.000849223243806374,6.416353397648011e-05
eda_mean,0.0006869272461011433,0.00012077841689689395
eda_scr_std,2.264595316814333e-05,1.509730211213256e-05
temp_range,1.8871627640137945e-05,1.1322976584127176e-05
bvp_hrv_uhf,1.509730211213256e-05,0.0
temp_std,7.54865105606628e-06,7.54865105606628e-06
eda_scr_mean,3.7743255280053845e-06,3.7743255280053845e-06
acc_y_peak_freq,0.0,0.0
acc_mag_peak_freq,0.0,0.0
acc_x_peak_freq,0.0,0.0
eda_std,0.0,7.548651056010769e-06
eda_scl_std,0.0,0.0
acc_z_peak_freq,0.0,0.0
bvp_hrv_ulf,0.0,0.0
bvp_hrv_hf,-7.54865105606628e-06,1.5097302112077049e-05
bvp_hrv_sampen,-3.019460422420961e-05,7.54865105606628e-06
eda_range,-4.529190633634217e-05,7.548651056060729e-05
acc_mag_mean,-8.303516161661806e-05,1.5097302112077049e-05
